TEAM;NAME;ROLE;BIRTH;HEIGHT;NATIONALITY 
Vbc Èpiù Casalmaggiore;MAGGIPINTO MARIANNA;LIBERO;1996;164;ITA 
Vbc Èpiù Casalmaggiore;MELANDRI LAURA;CENTRALE;1995;186;ITA 
Vbc Èpiù Casalmaggiore;VANZUROVA TEREZA;OPPOSTO;1991;186;CZE 
Vbc Èpiù Casalmaggiore;CIARROCCHI MICHELA;CENTRALE;1999;185;ITA 
Vbc Èpiù Casalmaggiore;MARINHO ANANDA CRISTINA;PALLEGGIATRICE;1989;177;BRA 
Vbc Èpiù Casalmaggiore;BAJEMA KARA;SCHIACCIATRICE;1998;198;USA 
Vbc Èpiù Casalmaggiore;VASILEVA ELITSA;SCHIACCIATRICE;1990;194;BUL 
Vbc Èpiù Casalmaggiore;KOSAREVA DAYANA;SCHIACCIATRICE;1999;186;ITA 
Zanetti Bergamo;FAUCETTE JOHNSON JULIANN;SCHIACCIATRICE;1989;190;USA 
Zanetti Bergamo;ENRIGHT STEPHANIE;SCHIACCIATRICE;1990;179;PUR 
Zanetti Bergamo;PRANDI VITTORIA;PALLEGGIATRICE;1994;180;ITA 
Zanetti Bergamo;FERSINO ELEONORA;LIBERO;2000;169;ITA 
Zanetti Bergamo;MARCON FRANCESCA;SCHIACCIATRICE;1983;180;ITA 
Zanetti Bergamo;LUKETIC KATARINA;OPPOSTO;1998;190;CRO 
Zanetti Bergamo;DUMANCIC BETA;CENTRALE;1991;189;CRO 
Zanetti Bergamo;VALENTIN NATALIA;PALLEGGIATRICE;1989;170;PUR 
Zanetti Bergamo;FARAONE GIORGIA;LIBERO;1994;168;ITA 
Zanetti Bergamo;LANIER KHALIA;SCHIACCIATRICE;1998;186;USA 
Zanetti Bergamo;LODA SARA;SCHIACCIATRICE;1990;178;ITA 
Zanetti Bergamo;MORETTO GAIA;CENTRALE;1994;192;ITA 
Zanetti Bergamo;MIO BERTOLO GIULIA;CENTRALE;1995;187;ITA 
  
  
  
  
  
  
  
  
  
